Sales;Date;Día;Mes;Año;Semana
11903.67;16/04/2008;4;4;2008;16
13244.67;17/04/2008;5;4;2008;16
13655.92;18/04/2008;6;4;2008;16
13627.58;19/04/2008;7;4;2008;16
13989.63;20/04/2008;1;4;2008;16
14186.46;21/04/2008;2;4;2008;17
13614.33;22/04/2008;3;4;2008;17
12131.46;23/04/2008;4;4;2008;17
13596.46;24/04/2008;5;4;2008;17
13709.79;25/04/2008;6;4;2008;17
13674.63;26/04/2008;7;4;2008;17
13883.83;27/04/2008;1;4;2008;17
13827.08;28/04/2008;2;4;2008;18
13386.21;29/04/2008;3;4;2008;18
11930.83;30/04/2008;4;4;2008;18
13177.38;01/05/2008;5;5;2008;18
13487.63;02/05/2008;6;5;2008;18
13827.96;03/05/2008;7;5;2008;18
13924.25;04/05/2008;1;5;2008;18
13967.08;05/05/2008;2;5;2008;19
13437.42;06/05/2008;3;5;2008;19
11996.5;07/05/2008;4;5;2008;19
13375.88;08/05/2008;5;5;2008;19
13571.5;09/05/2008;6;5;2008;19
13610.92;10/05/2008;7;5;2008;19
13595.67;11/05/2008;1;5;2008;19
13594.13;12/05/2008;2;5;2008;20
13178.25;13/05/2008;3;5;2008;20
11809.08;14/05/2008;4;5;2008;20
13393.54;15/05/2008;5;5;2008;20
13648.33;16/05/2008;6;5;2008;20
13592.92;17/05/2008;7;5;2008;20
13610.38;18/05/2008;1;5;2008;20
12803.25;19/05/2008;2;5;2008;21
12428.04;20/05/2008;3;5;2008;21
11685.92;21/05/2008;4;5;2008;21
13290.08;22/05/2008;5;5;2008;21
13795.54;23/05/2008;6;5;2008;21
13702.88;24/05/2008;7;5;2008;21
13790.79;25/05/2008;1;5;2008;21
13655.63;26/05/2008;2;5;2008;22
13277.08;27/05/2008;3;5;2008;22
11845.54;28/05/2008;4;5;2008;22
13322.83;29/05/2008;5;5;2008;22
13586.75;30/05/2008;6;5;2008;22
13595.13;31/05/2008;7;5;2008;22
13741.79;01/06/2008;1;6;2008;22
13526.54;02/06/2008;2;6;2008;23
13082.96;03/06/2008;3;6;2008;23
11742.92;04/06/2008;4;6;2008;23
13159.79;05/06/2008;5;6;2008;23
13593.33;06/06/2008;6;6;2008;23
13694.5;07/06/2008;7;6;2008;23
13807.38;08/06/2008;1;6;2008;23
13950;09/06/2008;2;6;2008;24
13446.75;10/06/2008;3;6;2008;24
12009.46;11/06/2008;4;6;2008;24
13518.88;12/06/2008;5;6;2008;24
14019.46;13/06/2008;6;6;2008;24
14072.92;14/06/2008;7;6;2008;24
14269.54;15/06/2008;1;6;2008;24
14312.42;16/06/2008;2;6;2008;25
13762.42;17/06/2008;3;6;2008;25
11955.33;18/06/2008;4;6;2008;25
13529.25;19/06/2008;5;6;2008;25
13954.08;20/06/2008;6;6;2008;25
14061.17;21/06/2008;7;6;2008;25
14188.42;22/06/2008;1;6;2008;25
14318.17;23/06/2008;2;6;2008;26
13918.25;24/06/2008;3;6;2008;26
12457.5;25/06/2008;4;6;2008;26
14266.79;26/06/2008;5;6;2008;26
14644.29;27/06/2008;6;6;2008;26
14535.67;28/06/2008;7;6;2008;26
14645.75;29/06/2008;1;6;2008;26
14573.46;30/06/2008;2;6;2008;27
14125.25;01/07/2008;3;7;2008;27
12604.75;02/07/2008;4;7;2008;27
14432.96;03/07/2008;5;7;2008;27
14949.71;04/07/2008;6;7;2008;27
15162.92;05/07/2008;7;7;2008;27
15460.83;06/07/2008;1;7;2008;27
15423.54;07/07/2008;2;7;2008;28
14809.38;08/07/2008;3;7;2008;28
13108.96;09/07/2008;4;7;2008;28
14982.75;10/07/2008;5;7;2008;28
15460.04;11/07/2008;6;7;2008;28
15560.71;12/07/2008;7;7;2008;28
15387.33;13/07/2008;1;7;2008;28
15318.29;14/07/2008;2;7;2008;29
14734.5;15/07/2008;3;7;2008;29
13224.13;16/07/2008;4;7;2008;29
14980.5;17/07/2008;5;7;2008;29
15299.67;18/07/2008;6;7;2008;29
15309.04;19/07/2008;7;7;2008;29
15169.46;20/07/2008;1;7;2008;29
15108.46;21/07/2008;2;7;2008;30
14473.5;22/07/2008;3;7;2008;30
12997.71;23/07/2008;4;7;2008;30
14812.58;24/07/2008;5;7;2008;30
15297.5;25/07/2008;6;7;2008;30
15468.13;26/07/2008;7;7;2008;30
15720.75;27/07/2008;1;7;2008;30
15758.33;28/07/2008;2;7;2008;31
15177.04;29/07/2008;3;7;2008;31
13712.13;30/07/2008;4;7;2008;31
15326.54;31/07/2008;5;7;2008;31
15276.33;01/08/2008;6;8;2008;31
15033.88;02/08/2008;7;8;2008;31
15064.42;03/08/2008;1;8;2008;31
15017.38;04/08/2008;2;8;2008;32
14519.71;05/08/2008;3;8;2008;32
13218.25;06/08/2008;4;8;2008;32
15024.83;07/08/2008;5;8;2008;32
15454.21;08/08/2008;6;8;2008;32
15554.96;09/08/2008;7;8;2008;32
15528.75;10/08/2008;1;8;2008;32
15430.83;11/08/2008;2;8;2008;33
14713.54;12/08/2008;3;8;2008;33
13251.83;13/08/2008;4;8;2008;33
15020.25;14/08/2008;5;8;2008;33
15403.79;15/08/2008;6;8;2008;33
15366.88;16/08/2008;7;8;2008;33
15413.71;17/08/2008;1;8;2008;33
15316.46;18/08/2008;2;8;2008;34
14791.58;19/08/2008;3;8;2008;34
13256.71;20/08/2008;4;8;2008;34
15101.71;21/08/2008;5;8;2008;34
15572.38;22/08/2008;6;8;2008;34
15588.63;23/08/2008;7;8;2008;34
15494.29;24/08/2008;1;8;2008;34
15346.58;25/08/2008;2;8;2008;35
14403;26/08/2008;3;8;2008;35
12740.5;27/08/2008;4;8;2008;35
14350.46;28/08/2008;5;8;2008;35
14705.17;29/08/2008;6;8;2008;35
13824.08;30/08/2008;7;8;2008;35
14575.96;31/08/2008;1;8;2008;35
14625.54;01/09/2008;2;9;2008;36
14220.75;02/09/2008;3;9;2008;36
12795.79;03/09/2008;4;9;2008;36
14629.46;04/09/2008;5;9;2008;36
15127.71;05/09/2008;6;9;2008;36
14708.46;06/09/2008;7;9;2008;36
14635.46;07/09/2008;1;9;2008;36
14513.21;08/09/2008;2;9;2008;37
14091.21;09/09/2008;3;9;2008;37
12606.33;10/09/2008;4;9;2008;37
14164.67;11/09/2008;5;9;2008;37
14685.42;12/09/2008;6;9;2008;37
14571.88;13/09/2008;7;9;2008;37
14668.38;14/09/2008;1;9;2008;37
14609.42;15/09/2008;2;9;2008;38
14119.88;16/09/2008;3;9;2008;38
12353.75;17/09/2008;4;9;2008;38
14026.83;18/09/2008;5;9;2008;38
14450.38;19/09/2008;6;9;2008;38
14671.58;20/09/2008;7;9;2008;38
14654.46;21/09/2008;1;9;2008;38
14667.75;22/09/2008;2;9;2008;39
14280.5;23/09/2008;3;9;2008;39
12606.21;24/09/2008;4;9;2008;39
13995.17;25/09/2008;5;9;2008;39
14344.92;26/09/2008;6;9;2008;39
14371.96;27/09/2008;7;9;2008;39
14397;28/09/2008;1;9;2008;39
14160.5;29/09/2008;2;9;2008;40
13774.63;30/09/2008;3;9;2008;40
12427.17;01/10/2008;4;10;2008;40
13827.42;02/10/2008;5;10;2008;40
14283.13;03/10/2008;6;10;2008;40
14175.88;04/10/2008;7;10;2008;40
14384.21;05/10/2008;1;10;2008;40
14183.29;06/10/2008;2;10;2008;41
13663.96;07/10/2008;3;10;2008;41
12192.17;08/10/2008;4;10;2008;41
13601.63;09/10/2008;5;10;2008;41
13942.08;10/10/2008;6;10;2008;41
13933.33;11/10/2008;7;10;2008;41
14047.17;12/10/2008;1;10;2008;41
14100.83;13/10/2008;2;10;2008;42
13768.13;14/10/2008;3;10;2008;42
12435.67;15/10/2008;4;10;2008;42
13792.88;16/10/2008;5;10;2008;42
14209.58;17/10/2008;6;10;2008;42
14275.67;18/10/2008;7;10;2008;42
14452.46;19/10/2008;1;10;2008;42
14627.75;20/10/2008;2;10;2008;43
14287.46;21/10/2008;3;10;2008;43
12643.38;22/10/2008;4;10;2008;43
14694.92;23/10/2008;5;10;2008;43
15235.83;24/10/2008;6;10;2008;43
15009.83;25/10/2008;7;10;2008;43
14976.79;26/10/2008;1;10;2008;43
14762.25;27/10/2008;2;10;2008;44
14358.42;28/10/2008;3;10;2008;44
12840.96;29/10/2008;4;10;2008;44
14633.29;30/10/2008;5;10;2008;44
14961.75;31/10/2008;6;10;2008;44
14765.75;01/11/2008;7;11;2008;44
14796.54;02/11/2008;1;11;2008;44
14702.29;03/11/2008;2;11;2008;45
14159.33;04/11/2008;3;11;2008;45
12850.33;05/11/2008;4;11;2008;45
14237.04;06/11/2008;5;11;2008;45
14621.25;07/11/2008;6;11;2008;45
14457.08;08/11/2008;7;11;2008;45
14555.25;09/11/2008;1;11;2008;45
14437.83;10/11/2008;2;11;2008;46
14047.17;11/11/2008;3;11;2008;46
13075.58;12/11/2008;4;11;2008;46
14537.42;13/11/2008;5;11;2008;46
15015.71;14/11/2008;6;11;2008;46
15134.75;15/11/2008;7;11;2008;46
14941.29;16/11/2008;1;11;2008;46
14728;17/11/2008;2;11;2008;47
14848.46;18/11/2008;3;11;2008;47
13496.63;19/11/2008;4;11;2008;47
14962.96;20/11/2008;5;11;2008;47
15307.79;21/11/2008;6;11;2008;47
15272.54;22/11/2008;7;11;2008;47
15515.58;23/11/2008;1;11;2008;47
15489.17;24/11/2008;2;11;2008;48
15095.92;25/11/2008;3;11;2008;48
14067.08;26/11/2008;4;11;2008;48
15428.88;27/11/2008;5;11;2008;48
15682.33;28/11/2008;6;11;2008;48
15809.79;29/11/2008;7;11;2008;48
15872.63;30/11/2008;1;11;2008;48
15643.79;01/12/2008;2;12;2008;49
15293.83;02/12/2008;3;12;2008;49
14106.71;03/12/2008;4;12;2008;49
15521.88;04/12/2008;5;12;2008;49
15891.83;05/12/2008;6;12;2008;49
16108.54;06/12/2008;7;12;2008;49
16050.67;07/12/2008;1;12;2008;49
16180.13;08/12/2008;2;12;2008;50
15795.38;09/12/2008;3;12;2008;50
14377.17;10/12/2008;4;12;2008;50
15912.29;11/12/2008;5;12;2008;50
16371.04;12/12/2008;6;12;2008;50
16177.88;13/12/2008;7;12;2008;50
16081.67;14/12/2008;1;12;2008;50
16000.46;15/12/2008;2;12;2008;51
15577.58;16/12/2008;3;12;2008;51
14316.88;17/12/2008;4;12;2008;51
15716;18/12/2008;5;12;2008;51
16157.33;19/12/2008;6;12;2008;51
16309.46;20/12/2008;7;12;2008;51
16373.67;21/12/2008;1;12;2008;51
16453.75;22/12/2008;2;12;2008;52
16231.25;23/12/2008;3;12;2008;52
15946.38;24/12/2008;4;12;2008;52
15016.75;25/12/2008;5;12;2008;52
13776.67;26/12/2008;6;12;2008;52
11178.33;27/12/2008;7;12;2008;52
11034.04;28/12/2008;1;12;2008;52
11239.83;29/12/2008;2;12;2008;53
11976.46;30/12/2008;3;12;2008;53
12111.58;31/12/2008;4;12;2008;53
12554.21;01/01/2009;5;1;2009;1
14926.25;02/01/2009;6;1;2009;1
15394.42;03/01/2009;7;1;2009;1
15390.79;04/01/2009;1;1;2009;1
15602.29;05/01/2009;2;1;2009;2
15177.88;06/01/2009;3;1;2009;2
13881.79;07/01/2009;4;1;2009;2
15233;08/01/2009;5;1;2009;2
15301.88;09/01/2009;6;1;2009;2
15475.46;10/01/2009;7;1;2009;2
15559.75;11/01/2009;1;1;2009;2
15604.08;12/01/2009;2;1;2009;3
15447.58;13/01/2009;3;1;2009;3
14326.67;14/01/2009;4;1;2009;3
15729.29;15/01/2009;5;1;2009;3
15956.5;16/01/2009;6;1;2009;3
16077.46;17/01/2009;7;1;2009;3
16140.71;18/01/2009;1;1;2009;3
16182.88;19/01/2009;2;1;2009;4
15688.38;20/01/2009;3;1;2009;4
14478.5;21/01/2009;4;1;2009;4
15967.33;22/01/2009;5;1;2009;4
16481.88;23/01/2009;6;1;2009;4
15987.63;24/01/2009;7;1;2009;4
16525.38;25/01/2009;1;1;2009;4
16174.29;26/01/2009;2;1;2009;5
15750.13;27/01/2009;3;1;2009;5
14054.83;28/01/2009;4;1;2009;5
15369.38;29/01/2009;5;1;2009;5
15536.75;30/01/2009;6;1;2009;5
15562.21;31/01/2009;7;1;2009;5
15803.92;01/02/2009;1;2;2009;5
15998.96;02/02/2009;2;2;2009;6
15676;03/02/2009;3;2;2009;6
14183.08;04/02/2009;4;2;2009;6
15709.33;05/02/2009;5;2;2009;6
15886.79;06/02/2009;6;2;2009;6
15797.63;07/02/2009;7;2;2009;6
15731.63;08/02/2009;1;2;2009;6
15508.63;09/02/2009;2;2;2009;7
14956.58;10/02/2009;3;2;2009;7
13989.83;11/02/2009;4;2;2009;7
15526.17;12/02/2009;5;2;2009;7
15943.79;13/02/2009;6;2;2009;7
16215.33;14/02/2009;7;2;2009;7
16170.38;15/02/2009;1;2;2009;7
16174.17;16/02/2009;2;2;2009;8
15566.13;17/02/2009;3;2;2009;8
14220.46;18/02/2009;4;2;2009;8
16027.79;19/02/2009;5;2;2009;8
16054.92;20/02/2009;6;2;2009;8
16217.71;21/02/2009;7;2;2009;8
16401.25;22/02/2009;1;2;2009;8
15871.83;23/02/2009;2;2;2009;9
16062.42;24/02/2009;3;2;2009;9
14045.42;25/02/2009;4;2;2009;9
15064.92;26/02/2009;5;2;2009;9
15237.83;27/02/2009;6;2;2009;9
15385.25;28/02/2009;7;2;2009;9
15162.29;01/03/2009;1;3;2009;9
14842.29;02/03/2009;2;3;2009;10
14017.5;03/03/2009;3;3;2009;10
12022.88;04/03/2009;4;3;2009;10
9875.13;05/03/2009;5;3;2009;10
9993;06/03/2009;6;3;2009;10
10652.63;07/03/2009;7;3;2009;10
11092.17;08/03/2009;1;3;2009;10
12135.63;09/03/2009;2;3;2009;11
12258.63;10/03/2009;3;3;2009;11
11981.75;11/03/2009;4;3;2009;11
13638.5;12/03/2009;5;3;2009;11
14248.38;13/03/2009;6;3;2009;11
14388.88;14/03/2009;7;3;2009;11
14456.13;15/03/2009;1;3;2009;11
14403.17;16/03/2009;2;3;2009;12
13797.29;17/03/2009;3;3;2009;12
12500.38;18/03/2009;4;3;2009;12
13566.92;19/03/2009;5;3;2009;12
13519.21;20/03/2009;6;3;2009;12
13510.04;21/03/2009;7;3;2009;12
13634.46;22/03/2009;1;3;2009;12
14160.17;23/03/2009;2;3;2009;13
13708.38;24/03/2009;3;3;2009;13
12376.08;25/03/2009;4;3;2009;13
13394.25;26/03/2009;5;3;2009;13
13529.04;27/03/2009;6;3;2009;13
13671.21;28/03/2009;7;3;2009;13
13927.08;29/03/2009;1;3;2009;13
14116.04;30/03/2009;2;3;2009;14
13906.71;31/03/2009;3;3;2009;14
12711.79;01/04/2009;4;4;2009;14
13951.63;02/04/2009;5;4;2009;14
14173.5;03/04/2009;6;4;2009;14
14294.13;04/04/2009;7;4;2009;14
14281.17;05/04/2009;1;4;2009;14
14035.92;06/04/2009;2;4;2009;15
13546.58;07/04/2009;3;4;2009;15
12349.92;08/04/2009;4;4;2009;15
13322.71;09/04/2009;5;4;2009;15
13700.5;10/04/2009;6;4;2009;15
13678.21;11/04/2009;7;4;2009;15
13773.25;12/04/2009;1;4;2009;15
13838.46;13/04/2009;2;4;2009;16
13646.63;14/04/2009;3;4;2009;16
12454.79;15/04/2009;4;4;2009;16
13664.96;16/04/2009;5;4;2009;16
13735.33;17/04/2009;6;4;2009;16
14009.21;18/04/2009;7;4;2009;16
13658.75;19/04/2009;1;4;2009;16
13399.13;20/04/2009;2;4;2009;17
13162.33;21/04/2009;3;4;2009;17
11792.88;22/04/2009;4;4;2009;17
12074.71;23/04/2009;5;4;2009;17
13257.38;24/04/2009;6;4;2009;17
13548.25;25/04/2009;7;4;2009;17
13724.29;26/04/2009;1;4;2009;17
13534.33;27/04/2009;2;4;2009;18
13067.46;28/04/2009;3;4;2009;18
11966.21;29/04/2009;4;4;2009;18
13269.5;30/04/2009;5;4;2009;18
13421.33;01/05/2009;6;5;2009;18
13688.08;02/05/2009;7;5;2009;18
13712.58;03/05/2009;1;5;2009;18
13486;04/05/2009;2;5;2009;19
13174.17;05/05/2009;3;5;2009;19
12010.13;06/05/2009;4;5;2009;19
13215.5;07/05/2009;5;5;2009;19
13313.25;08/05/2009;6;5;2009;19
13385.92;09/05/2009;7;5;2009;19
13439.71;10/05/2009;1;5;2009;19
13377.63;11/05/2009;2;5;2009;20
12934.96;12/05/2009;3;5;2009;20
11934;13/05/2009;4;5;2009;20
13375.33;14/05/2009;5;5;2009;20
13520.88;15/05/2009;6;5;2009;20
13357.96;16/05/2009;7;5;2009;20
13289.75;17/05/2009;1;5;2009;20
13238.38;18/05/2009;2;5;2009;21
12065.75;19/05/2009;3;5;2009;21
11416.88;20/05/2009;4;5;2009;21
12944.25;21/05/2009;5;5;2009;21
13293.5;22/05/2009;6;5;2009;21
13453.83;23/05/2009;7;5;2009;21
13491.92;24/05/2009;1;5;2009;21
13449.08;25/05/2009;2;5;2009;22
12974.46;26/05/2009;3;5;2009;22
11902.63;27/05/2009;4;5;2009;22
13136.67;28/05/2009;5;5;2009;22
13537.17;29/05/2009;6;5;2009;22
13464.08;30/05/2009;7;5;2009;22
13556.88;31/05/2009;1;5;2009;22
13535.83;01/06/2009;2;6;2009;23
12963.83;02/06/2009;3;6;2009;23
11849.5;03/06/2009;4;6;2009;23
13046.46;04/06/2009;5;6;2009;23
13315.5;05/06/2009;6;6;2009;23
13252.71;06/06/2009;7;6;2009;23
13429.96;07/06/2009;1;6;2009;23
13580.96;08/06/2009;2;6;2009;24
13100.42;09/06/2009;3;6;2009;24
11870.25;10/06/2009;4;6;2009;24
13416.33;11/06/2009;5;6;2009;24
14056.83;12/06/2009;6;6;2009;24
14057.79;13/06/2009;7;6;2009;24
14212.17;14/06/2009;1;6;2009;24
13963;15/06/2009;2;6;2009;25
13325;16/06/2009;3;6;2009;25
11834.21;17/06/2009;4;6;2009;25
13523.92;18/06/2009;5;6;2009;25
13991.33;19/06/2009;6;6;2009;25
14044.46;20/06/2009;7;6;2009;25
14065.83;21/06/2009;1;6;2009;25
14087.08;22/06/2009;2;6;2009;26
13645.58;23/06/2009;3;6;2009;26
12388.96;24/06/2009;4;6;2009;26
13831.75;25/06/2009;5;6;2009;26
14307.67;26/06/2009;6;6;2009;26
14425.04;27/06/2009;7;6;2009;26
14438.25;28/06/2009;1;6;2009;26
14555.71;29/06/2009;2;6;2009;27
13928.5;30/06/2009;3;6;2009;27
13048.88;01/07/2009;4;7;2009;27
14255.13;02/07/2009;5;7;2009;27
14377.17;03/07/2009;6;7;2009;27
14431.79;04/07/2009;7;7;2009;27
14598.13;05/07/2009;1;7;2009;27
14858.83;06/07/2009;2;7;2009;28
14215.92;07/07/2009;3;7;2009;28
12811.17;08/07/2009;4;7;2009;28
14483.92;09/07/2009;5;7;2009;28
15022.33;10/07/2009;6;7;2009;28
15105;11/07/2009;7;7;2009;28
15017.54;12/07/2009;1;7;2009;28
15093.13;13/07/2009;2;7;2009;29
14537.54;14/07/2009;3;7;2009;29
13059.63;15/07/2009;4;7;2009;29
14819.67;16/07/2009;5;7;2009;29
15154.79;17/07/2009;6;7;2009;29
15132.25;18/07/2009;7;7;2009;29
15507.21;19/07/2009;1;7;2009;29
15410.42;20/07/2009;2;7;2009;30
14840.46;21/07/2009;3;7;2009;30
13342.17;22/07/2009;4;7;2009;30
14918.54;23/07/2009;5;7;2009;30
15292.58;24/07/2009;6;7;2009;30
15348.04;25/07/2009;7;7;2009;30
15361.63;26/07/2009;1;7;2009;30
15393.71;27/07/2009;2;7;2009;31
14889.38;28/07/2009;3;7;2009;31
13632.04;29/07/2009;4;7;2009;31
15255.67;30/07/2009;5;7;2009;31
15519.5;31/07/2009;6;7;2009;31
15474.92;01/08/2009;7;8;2009;31
15265;02/08/2009;1;8;2009;31
15228.54;03/08/2009;2;8;2009;32
14776.13;04/08/2009;3;8;2009;32
13338.04;05/08/2009;4;8;2009;32
15062.88;06/08/2009;5;8;2009;32
15459;07/08/2009;6;8;2009;32
15554.17;08/08/2009;7;8;2009;32
15741.54;09/08/2009;1;8;2009;32
15824.42;10/08/2009;2;8;2009;33
15195.21;11/08/2009;3;8;2009;33
13664.33;12/08/2009;4;8;2009;33
14936.25;13/08/2009;5;8;2009;33
15326.21;14/08/2009;6;8;2009;33
15385.63;15/08/2009;7;8;2009;33
15473.46;16/08/2009;1;8;2009;33
15365.29;17/08/2009;2;8;2009;34
14672.75;18/08/2009;3;8;2009;34
13097.38;19/08/2009;4;8;2009;34
14433.67;20/08/2009;5;8;2009;34
15031.63;21/08/2009;6;8;2009;34
15209.75;22/08/2009;7;8;2009;34
15259.25;23/08/2009;1;8;2009;34
15424.04;24/08/2009;2;8;2009;35
14913.38;25/08/2009;3;8;2009;35
13220.67;26/08/2009;4;8;2009;35
14766.83;27/08/2009;5;8;2009;35
15139.33;28/08/2009;6;8;2009;35
15149.67;29/08/2009;7;8;2009;35
14158.92;30/08/2009;1;8;2009;35
14513.67;31/08/2009;2;8;2009;36
13862.33;01/09/2009;3;9;2009;36
12989.75;02/09/2009;4;9;2009;36
14689.13;03/09/2009;5;9;2009;36
14967.63;04/09/2009;6;9;2009;36
15053.67;05/09/2009;7;9;2009;36
14854.04;06/09/2009;1;9;2009;36
14456.54;07/09/2009;2;9;2009;37
13975.13;08/09/2009;3;9;2009;37
12644.29;09/09/2009;4;9;2009;37
14016.21;10/09/2009;5;9;2009;37
14613.71;11/09/2009;6;9;2009;37
14478.08;12/09/2009;7;9;2009;37
14449;13/09/2009;1;9;2009;37
14415.5;14/09/2009;2;9;2009;38
13964.54;15/09/2009;3;9;2009;38
12611.71;16/09/2009;4;9;2009;38
13966.58;17/09/2009;5;9;2009;38
14269.04;18/09/2009;6;9;2009;38
14453.29;19/09/2009;7;9;2009;38
14586.71;20/09/2009;1;9;2009;38
14376.17;21/09/2009;2;9;2009;39
13926.08;22/09/2009;3;9;2009;39
12627.79;23/09/2009;4;9;2009;39
13886.21;24/09/2009;5;9;2009;39
14331.46;25/09/2009;6;9;2009;39
14311;26/09/2009;7;9;2009;39
13944.63;27/09/2009;1;9;2009;39
13840.67;28/09/2009;2;9;2009;40
13491;29/09/2009;3;9;2009;40
11987.58;30/09/2009;4;9;2009;40
13641.92;01/10/2009;5;10;2009;40
13846.13;02/10/2009;6;10;2009;40
13857.5;03/10/2009;7;10;2009;40
13963.42;04/10/2009;1;10;2009;40
13829.21;05/10/2009;2;10;2009;41
13469.63;06/10/2009;3;10;2009;41
12115.25;07/10/2009;4;10;2009;41
13511.88;08/10/2009;5;10;2009;41
13933.83;09/10/2009;6;10;2009;41
14021;10/10/2009;7;10;2009;41
13894.04;11/10/2009;1;10;2009;41
13760.75;12/10/2009;2;10;2009;42
13413.04;13/10/2009;3;10;2009;42
12223.5;14/10/2009;4;10;2009;42
13517;15/10/2009;5;10;2009;42
13850.04;16/10/2009;6;10;2009;42
13878;17/10/2009;7;10;2009;42
13798.63;18/10/2009;1;10;2009;42
13782.79;19/10/2009;2;10;2009;43
13560.83;20/10/2009;3;10;2009;43
12412.88;21/10/2009;4;10;2009;43
13670.17;22/10/2009;5;10;2009;43
14049;23/10/2009;6;10;2009;43
14156;24/10/2009;7;10;2009;43
14472.5;25/10/2009;1;10;2009;43
14601.88;26/10/2009;2;10;2009;44
14252.71;27/10/2009;3;10;2009;44
13040.46;28/10/2009;4;10;2009;44
